gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
474852361					2023-02-15 14:38:20.0					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p04064188	P04064188																		hb																																																																																																																						Rosa urbica Léman													Rosaceae				Rosa									Léman					
474852205					2017-06-20 14:56:04.0					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p03559942	P03559942																		hb																																																																																																																						Rosa amblyphylla Ripart ex Déségl.													Rosaceae				Rosa									Ripart ex Déségl.					
474852204					2017-06-20 14:56:04.0					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p03559941	P03559941																		hb																																																																																																																						Rosa amblyphylla Ripart ex Déségl.													Rosaceae				Rosa									Ripart ex Déségl.					
474847515					2017-06-20 15:10:05.0					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p04064145	P04064145																		hb																																																																																																																						Rosa hemitricha Ripart ex Déségl.													Rosaceae				Rosa									Ripart ex Déségl.					
474847511					2017-10-25 16:07:20.0					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p04064649	P04064649																		hb																																																																																																																						Rosa platyphylla A.Rau													Rosaceae				Rosa									A.Rau					
474842901					2017-06-20 15:26:05.0					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p04064239	P04064239																		hb																																																																																																																						Rosa trichoidea Ripart ex Déségl.													Rosaceae				Rosa									Ripart ex Déségl.					
474842866					2015-09-04 12:25:12.0					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p04064443	P04064443																		hb																																																																																																																						Rosa deseglisei Boreau													Rosaceae				Rosa									Boreau					
474842788					2015-09-04 12:24:04.0					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p04064585	P04064585																		hb																																																																																																																						Rosa platyphylloides Déségl. & Ripart													Rosaceae				Rosa									Déségl. & Ripart					
474809675					2017-06-20 14:56:04.0					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p03559943	P03559943																		hb																																																																																																																						Rosa amblyphylla Ripart ex Déségl.													Rosaceae				Rosa									Ripart ex Déségl.					
474809674					2017-06-20 14:56:04.0					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p03559939	P03559939																		hb																																																																																																																						Rosa amblyphylla Ripart ex Déségl.													Rosaceae				Rosa									Ripart ex Déségl.					
474809648					2015-09-04 12:23:16.0					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p03559973	P03559973																		hb																																																																																																																						Rosa corymbifera Borkh.													Rosaceae				Rosa									Borkh.					
474804570					2015-09-04 12:24:28.0					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p04064653	P04064653																		hb																																																																																																																						Rosa platyphylla A.Rau													Rosaceae				Rosa									A.Rau					
474799648					2015-09-04 12:24:04.0					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p04064584	P04064584																		hb																																																																																																																						Rosa platyphylloides Déségl. & Ripart													Rosaceae				Rosa									Déségl. & Ripart					
474799647					2015-09-04 12:24:04.0					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p04064578	P04064578																		hb																																																																																																																						Rosa platyphylloides Déségl. & Ripart													Rosaceae				Rosa									Déségl. & Ripart					
474790497					2017-10-20 15:02:40.0					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p03559947	P03559947																		hb																																																																																																																						Rosa burnatii (H.Christ) Burnat & Gremli													Rosaceae				Rosa									(H.Christ) Burnat & Gremli					
474766519					2015-09-04 12:24:03.0					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p04064192	P04064192																		hb																																																																																																																						Rosa urbica Léman													Rosaceae				Rosa									Léman					
474766518					2017-06-20 15:09:03.0					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p04064154	P04064154																		hb																																																																																																																						Rosa globata Déségl.													Rosaceae				Rosa									Déségl.					
474761125					2017-10-20 15:47:08.0					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p04064149	P04064149																		hb																																																																																																																						Rosa imitata Déségl.													Rosaceae				Rosa									Déségl.					
474755872					2017-06-20 15:10:05.0					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p04064144	P04064144																		hb																																																																																																																						Rosa jactata Déségl.													Rosaceae				Rosa									Déségl.					
474755825					2015-09-04 12:25:11.0					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p04064441	P04064441																		hb																																																																																																																						Rosa deseglisei Boreau													Rosaceae				Rosa									Boreau					
474755823					2015-09-04 12:25:11.0					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p04064440	P04064440																		hb																																																																																																																						Rosa deseglisei Boreau													Rosaceae				Rosa									Boreau					
474755822					2015-09-04 12:25:11.0					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p04064439	P04064439																		hb																																																																																																																						Rosa deseglisei Boreau													Rosaceae				Rosa									Boreau					
474748797					2015-09-04 11:36:46.0					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p03436545	P03436545																		hb																																																																																																																						Rosa dumetorum Thuill.													Rosaceae				Rosa									Thuill.					
474736531					2015-09-04 12:23:40.0					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p04064132	P04064132																		hb																																																																																																																						Rosa hispidula Ripart ex Déségl.													Rosaceae				Rosa									Ripart ex Déségl.					
